周边交通,商业用房平均价,开盘时间,容积率,座落,车位,设备装修,绿化率,楼盘简介,总幢数,开发商,住宅平均价,土地等级,项目名称,入住时间,联系电话,配套设施
,,2007-05-21 16:05:56.0,,东陵区前桑林子村,,,,,,辽宁香格蔚蓝房地产开发有限公司,香格蔚蓝(三期)H区,0,50,2009-10-01 00:00:00.0,,
,,2007-05-23 13:44:45.0,,沈阳辉山农业高新区辉山大街132号,,,,,,沈阳北冰洋食品工程有限公司,2#厂房、3#厂房,0,2,,,
,,2007-05-23 12:49:45.0,,苏家屯区桂花街东,,,,,,辽宁普豪房地产开发有限公司,住宅、商业（家乐园）,0,4,2007-08-30 00:00:00.0,,
,,2007-05-24 15:31:03.0,,沈阳市沈河区市府大路447号,,,,,,辽宁东海房屋土地开发有限公司,宝石家园,0,3,,,
,,2007-05-24 09:28:49.0,,东陵区东陵路123号,,,,,,沈阳万科新墅置业有限公司,万科兰乔圣菲（二期）,0,42,2008-07-31 00:00:00.0,,
,,2007-05-24 16:40:13.0,,东陵区东陵路84号,,,,,,沈阳万庆房地产开发有限公司,"居住,商业(侬园住宅小区)",0,11,2007-10-28 00:00:00.0,,
,,2007-05-29 08:32:08.0,,沈阳市铁西区景星北街32号,,,,,,沈阳军东房地产开发有限公司,鑫丰俪城,0,33,2008-08-31 00:00:00.0,,
,,2007-05-30 09:40:50.0,,东陵区下伯官村,,,,,,沈阳市东营塑料包装厂,办公楼、厂房,0,3,,,
,,2007-05-31 00:00:00.0,,开发区十三号街路20号,,,,,,沈阳远大铝业工程有限公司,国际加工中心办公楼、3#厂房、4#厂房、5#厂房、门卫室、食堂,0,6,,,
,,2007-05-31 13:54:51.0,,和平区夹河路6号,,,,,,沈阳万科永达房地产开发有限公司,万科城二期一区,0,,2008-10-25 00:00:00.0,,
,,2007-05-31 09:26:46.0,,开发区十三号街22号,,,,,,沈阳博林特电机有限公司,"1#厂房,2#厂房",0,2,,,
,,2007-06-01 11:09:30.0,,铁西区北二中路25号,,,,,,沈阳正大世纪房地产开发有限公司,正大世纪家园二期,0,4,,,
,,2007-06-01 14:16:55.0,,沈北新区虎石台镇技工学校院内,,,,,,辽宁煤炭基本建设技工学校,教学综合楼,0,1,,,
,,2007-06-01 09:27:14.0,,苏家屯区桂花街227号,,,,,,沈阳市苏家屯区供销合作社联合社,综合用房,0,1,,,
,,2007-06-04 14:40:46.0,,铁西区兴顺街1号,,,,,,沈阳市铁西区城建开发有限责任公司,顺星北苑,0,,2007-06-30 00:00:00.0,,
,,2007-06-04 08:57:09.0,,沈阳市于洪区崇山东路鸭绿江街六号,,,,,,辽宁中油燃气汽车系统工程有限公司,"加油,气混合站",0,3,,,
,,2007-06-05 14:40:13.0,,东陵区深井子街34-37号,,,,,,沈阳先景服装有限公司,办公楼、厂房、食堂、宿舍楼、锅炉房,0,5,,,
,,2007-06-06 11:13:10.0,,高坎镇七间房村,,,,,,沈阳良运房地产开发有限公司,桑堤亚纳庄园(二期),0,55,2008-09-15 00:00:00.0,,
,,,,皇姑区,,,,,,沈阳中海兴业房地产开发有限公司,居住、商业（三期-4）,,,,,
,,,,于洪区,,,,,,沈阳五洲国际工业博览城置业有限公司,沈阳五洲工业品博览交易中心1.1期,,,,,
,,,,沈阳经济技术开发区,,,,,,辽宁鹰达卫华房地产开发有限公司,S3、S4、S3S4地下室及车库、S5、Y1至Y4地下设备用房,,,,,
,,,,和平区,,,,,,沈阳恒逸房地产开发有限公司,住宅、商业（二期一组团）,,,,,
,,,,皇姑区,,,,,,沈阳中海兴业房地产开发有限公司,居住、商业（五期）,,,,,
,,,,苏家屯区,,,,,,沈阳港联房地产开发有限公司,居住、商业（顶盛国际花园二期）,,,,,
,,,,沈河区,,,,,,嘉里（沈阳）房地产开发有限公司,居住 商业（T1办公楼）,,,,,
,,,,大东区,,,,,,沈阳威嘉置业有限公司,“宝地铭门世家花园”房地产项目（一期）,,,,,
,,,,东陵区,,,,,,华润置地（沈阳）房地产开发有限公司,居住、商业（二期-2）,,,,,
,,,,和平区,,,,,,沈阳东达房屋开发有限责任公司,东大国际中心,,,,,
,,,,东陵区,,,,,,积水好施置业（沈阳）有限公司,居住（一期）,,,,,
,,,,和平区,,,,,,辽宁金厦房屋开发有限公司,长白e巢 居住,,,,,
,,,,于洪区,,,,,,阳光一百置业（辽宁）有限公司,住宅、公建（沈阳阳光100新城三期C2组团）,,,,,
,,,,于洪区,,,,,,沈阳中铁盛丰置业有限公司,丁香水岸（3.1期）,,,,,
,,,,于洪区,,,,,,沈阳中泰汇通置业有限公司,原乡奥地利（五号地块）,,,,,
,,,,沈河区,,,,,,辽宁太平洋实业有限公司,沈阳环球国际大厦二期,,,,,
,,,,东陵区,,,,,,沈阳万科金域蓝湾房地产开发有限公司,居住（二期三组团）,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳澳海澜庭房地产开发有限公司,居住商业项目一期,,,,,
,,,,铁西区,,,,,,沈阳绿厦爵仕房地产开发有限公司,绿厦.爵仕意境,,,,,
,,,,东陵区,,,,,,沈阳正大桃花源房地产开发有限公司,居住、商业,,,,,
,,,,东陵区,,,,,,沈阳港丰巨宝房产开发有限公司,居住,,,,,
,,,,东陵区,,,,,,沈阳中海嘉业房地产开发有限公司,居住、商业（二期）,,,,,
,,,,皇姑区,,,,,,中合沈阳置业有限公司,居住、商业（一期）,,,,,
,,2007-06-06 10:38:47.0,,铁西区云峰北街36号,,,,,,沈阳西华赛维莱房产置业有限公司,巴塞罗那一期,0,10,,,
,,2007-06-07 13:41:22.0,,沈阳市浑南新区新才街5号,,,,,,沈阳亿达房地产有限公司,"亿达,唯美品格 住宅小区四期",0,3,2008-07-30 00:00:00.0,,
,,2007-06-07 10:39:44.0,,沈阳经济技术开发区十号路三号街,,,,,,中华人民共和国沈阳海关,罚没仓库及办公用房,0,1,,,
,,2007-06-07 08:59:40.0,,和平区安图街东侧,,,,,,沈阳博曼房地产开发有限公司,地下停车场及设备用房、商住楼（博曼?领仕郡),0,2,2008-10-30 00:00:00.0,,
,,2007-06-08 14:23:55.0,,铁西区保工北街12号,,,,,,沈阳瑞金房地产开发有限公司,梦想之约住宅,0,6,2008-05-31 00:00:00.0,,
,,2007-06-12 16:30:00.0,,铁西区兴工北街57号,,,,,,沈阳金昊房地产开发有限公司 ,金昊大厦,0,1,2008-03-01 00:00:00.0,,
,,2007-06-12 13:52:40.0,,沈阳市和平区长白沙岗子村,,,,,,沈阳市兴和房屋开发有限公司,天河家园(四期),0,11,2007-11-15 00:00:00.0,,
,,2007-06-12 14:26:19.0,,东陵区辉山明渠西侧,,,,,,辽宁富莱斯普房地产开发有限公司,水晶城,0,47,2008-06-30 00:00:00.0,,
,,2007-06-12 10:02:04.0,,大东区北海街东,,,,,,沈阳万恒鸿基房地产开发有限公司,住宅、商业网点（四期）,0,24,2008-09-30 00:00:00.0,,
,,2007-06-13 13:20:08.0,,东陵区东陵路南侧,,,,,,沈阳市沈房房地产开发有限公司,居住、商业（龙净?都市阳光),0,16,2008-09-30 00:00:00.0,,
,,2007-06-13 15:12:52.0,,浑南新区,,,,,,沈阳华姿风尚房地产开发有限公司,住宅楼(新里程),0,7,2009-09-30 00:00:00.0,,
,,2007-06-13 09:39:06.0,,沈阳市苏家屯区瑰香街19号,,,,,,沈阳市天成速冻品加工厂,"综合楼,冷库",0,2,,,
,,2007-06-13 15:09:09.0,,浑南新区,,,,,,沈阳华姿风尚房地产开发有限公司,1号\2号住宅楼(新里程),0,2,2008-06-30 00:00:00.0,,
,,2007-06-13 14:37:30.0,,浑南产业西区22号-1地块,,,,,,沈阳通用电气黎明燃气轮机零部件有限责任公司,"门卫及大门,厂房及附属用房",0,5,,,
,,2007-06-13 00:00:00.0,,铁西区景星北街68号,,,,,,辽宁力丰房屋开发有限公司,四季嘉园,0,4,,,
,,2007-06-14 16:04:11.0,,东陵区方家栏路5-1号,,,,,,沈阳市东陵区水利局,防汛物资储备库,0,1,,,
,,2007-06-14 16:24:21.0,,沈北新区辉山开发区新城路56号,,,,,,沈阳泰盈房产开发有限公司,七里香堤4.3期43#45#46#47#48#住宅楼,0,5,2008-12-31 00:00:00.0,,
,,2007-06-15 10:22:05.0,,沈阳经济技术开发区六号路7甲1号,,,,,,沈阳经济技术开发区热电有限公司,"主厂房,化学车间,综合水泵房,空压机房及电除尘器控制室,铲车库,检修综合楼",0,19,,,
,,2007-06-15 14:41:28.0,,沈阳辉山农业高新技术开发区通利街3号,,,,,,沈阳金恒工贸有限公司,"办公楼,厂房,仓库",0,3,,,
,,2007-06-15 15:42:17.0,,沈阳辉山农业高新技术开发区聚农路12号,,,,,,沈阳市华夏中医门诊部,综合制剂、化妆品车间、华夷中药产品深加工,0,4,,,
,,2007-06-18 10:33:48.0,,沈阳市和平区兰州街西侧,,,,,,沈阳沈铁房地产开发集团有限责任公司,商住楼,0,1,2008-01-01 00:00:00.0,,
,,2007-06-18 10:45:26.0,,沈阳市和平区和平南大街93号,,,,,,沈阳沈铁房地产开发集团有限责任公司,"沈铁分局哈大电气化综合楼,住宅",0,1,2008-06-01 00:00:00.0,,
,,2007-06-18 10:37:29.0,,沈阳棋盘山旅游开发区满堂乡辉山村,,,,,,辽宁新大房地产开发有限公司,辉山别墅山庄,0,12,,,
,,2007-06-19 00:00:00.0,,沈北新区辉山经济技术开发区辉山大街,,,,,,辽宁禾丰牧业股份有限公司,办公楼,0,1,,,
,,2007-06-19 10:40:59.0,,浑南新区B47号-1地块,,,,,,沈阳万科浑南房地产开发有限公司,“沈阳万科新榆公馆”住宅小区13号楼,0,1,2008-06-30 00:00:00.0,,
,,2007-06-19 15:10:36.0,,铁西区兴华南街31号,,,,,,沈阳鹏飞置业地产有限公司,鹏飞商业广场（鹏飞?天丰大厦),0,2,2008-03-01 00:00:00.0,,
,,2007-06-19 00:00:00.0,,沈阳沈北新区辉山大街,,,,,,辽宁禾丰牧业股份有限公司沈阳分公司,"办公楼,厂房一,厂房二,生产车间",0,4,,,
,,2007-06-19 13:19:57.0,,皇姑区北运河西侧,,,,,,沈阳东北金城房地产开发有限公司,居住（岸上公馆）,0,3,2007-12-30 00:00:00.0,,
,,2007-06-19 00:00:00.0,,沈阳市苏家屯区城交街道办事处胡家甸村,,,,,,沈阳禄盛磨料磨具有限公司,"车间,收发室",0,2,,,
,,2007-06-20 08:34:21.0,,沈阳市苏家屯区雪松路49号,,,,,,沈阳市苏家屯区中医医院,门诊楼、附属用房,0,1,,,
,,,,沈阳经济技术开发区,,,,,,沈阳正宸置业有限公司,居住商业项目（弘泽国际一、二期）,,,,,
,,,,和平区,,,,,,沈阳安泰房产开发有限公司,商业B（4#地块）二期,,,,,
,,,,沈北新区,,,,,,沈阳华强新城市发展有限公司,华强城二期（2.1期住宅）,,,,,
,,,,沈北新区,,,,,,沈阳恒高房地产开发有限公司,金河湾住宅小区一期,,,,,
,,,,浑南区,,,,,,沈阳福融房地产开发有限责任公司,商业,,,,,
,,,,沈阳市铁西区,,,,,,辽宁宝立房产开发有限责任公司,美好愿景小区（二期）,,,,,
,,,,沈阳经济技术开发区,,,,,,辽宁大略房地产开发有限公司 ,住宅商业项目（165/166）,,,,,
,,,,浑南区,,,,,,辽宁融厦房地产开发有限公司,居住、商业,,,,,
,,,,大东区,,,,,,辽宁富莱斯普房地产开发有限公司,居住、商业,,,,,
,,,,大东区,,,,,,沈阳荣耀房地产开发有限公司,居住、商业（一期1）,,,,,
,,,,铁西区,,,,,,沈阳久成房地产开发有限公司,久成乐府,,,,,
,,,,和平区,,,,,,沈阳万科永安置地有限公司,居住、商业（二期）,,,,,
,,,,浑南区,,,,,,沈阳万润新城建设发展有限公司,居住、商业,,,,,
,,,,浑南区,,,,,,沈阳万锦新世纪置业有限公司,居住,,,,,
,,,,铁西区,,,,,,沈阳彬海房地产开发有限公司,恒润.怡沁园,,,,,
,,,,于洪区,,,,,,恒大长基（沈阳）置业有限公司,住宅、商业（恒大绿洲四期123-126#、137#楼）,,,,,
,,,,东陵区,,,,,,沈阳新洲和田房地产开发有限公司,居住、商业（B区）,,,,,
,,,,苏家屯区,,,,,,辽宁现代房地产开发有限责任公司,大淑堡富民小区（四期）,,,,,
,,2007-06-21 14:03:06.0,,东陵区新立堡村,,,,,,保利(沈阳)房地产开发有限公司,保利花园三期,0,35,,,
,,2007-06-21 16:29:44.0,,沈阳经济技术开发区二十七号路18号,,,,,,沈阳佳誉压缩机制造有限公司,生产厂房、综合楼、收发室,0,3,,,
,,2007-07-23 13:17:37.0,,铁西区北三东路9号,,,,,,沈阳怡华房屋开发有限公司,移动馨城,0,8,2008-12-31 00:00:00.0,,
,,2007-07-12 10:29:31.0,,高坎镇七间房村,,,,,,沈阳奥林匹克置业投资有限公司,沈阳奥林匹克花园三期,0,77,2008-10-30 00:00:00.0,,
,,2007-07-13 14:48:36.0,,沈阳市东陵区望花中街99号,,,,,,沈阳东方宏利房地产有限公司,东方欧博城,0,15,2008-06-30 00:00:00.0,,
,,2007-07-13 13:08:38.0,,沈阳市于洪区东湖街,,,,,,沈阳华威置业有限公司,东湖秀景,0,6,2008-08-08 00:00:00.0,,
,,2007-07-16 09:31:23.0,,经济技术开发区浑河二街2甲6号,,,,,,辽宁盛鑫成房屋开发有限公司,万熹绿景一期地块二,0,6,2007-12-31 00:00:00.0,,
,,2007-07-17 17:38:37.0,,沈阳市皇姑区明廉路北侧,,,,,,沈阳安特来房地产有限公司,博客地带车库,0,2,2007-12-31 00:00:00.0,,
,,2007-07-17 14:40:49.0,,沈阳农业高新区乡浓路8号,,,,,,沈阳江尚伟业房产开发有限公司,阳光.洛可可,0,24,2009-09-30 00:00:00.0,,
,,2007-07-18 09:33:00.0,,沈北新区辉山经济开发区人和街170号,,,,,,沈阳天阔华城房地产开发有限公司,沈阳中体奥林匹克花园.花园一号,0,12,2008-10-30 00:00:00.0,,
,,2007-07-18 13:44:16.0,,沈北新区辉山经济开发区人和街170-48号,,,,,,沈阳天阔华城房地产开发有限公司,沈阳中体奥林匹克花园.花园一号车库,0,1,2007-07-31 00:00:00.0,,
,,2007-07-18 00:00:00.0,,沈北新区辉山经济开发区芳草路27号,,,,,,辽宁高校后勤集团房地产开发有限公司,溪谷兰庭,0,18,2008-08-31 00:00:00.0,,
,,2007-07-18 17:13:33.0,,沈阳市东陵区浑河站前进村,,,,,,沈阳来顺服装有限公司,厂房,0,1,,,
,,2007-07-18 17:26:12.0,,沈阳经济技术开发区开发大路12甲3号,,,,,,沈阳昊诚电气有限公司,办公楼、宿舍食堂、收发室、厂房等,0,10,,,
,,2007-07-18 17:32:19.0,,沈阳经济技术开发区开发大路12甲3-15号,,,,,,沈阳昊诚开关成套设备有限公司,变压器装配车间,0,1,,,
,,2007-07-18 00:00:00.0,,于洪区南阳湖街166号,,,,,,恒大长基（沈阳）置业有限公司,恒大绿洲,0,13,2008-12-31 00:00:00.0,,
,,2007-07-20 11:51:22.0,,沈阳辉山农业高新技术开发区人和街168号,,,,,,沈阳泰盈棕榈园房地产开发有限公司,九如溪谷,0,24,2008-12-31 00:00:00.0,,
,,2007-07-20 00:00:00.0,,东陵区营城子大街45号,,,,,,沈阳博隆房屋开发有限公司,金水湾家园,0,29,2008-11-30 00:00:00.0,,
,,2007-07-20 14:11:37.0,,沈阳经济技术开发区开发23路7号,,,,,,沈阳中辰钢结构工程有限公司,沈阳中辰钢结构工程有限公司,0,3,,,
,,2007-07-23 10:38:09.0,,沈阳市铁西区北三中路1号,,,,,,沈阳爱地房地产开发有限公司,熙城桃源（君临天下三期）,0,22,2008-07-30 00:00:00.0,,
,,2007-07-23 15:14:34.0,,沈阳市大东区东陵西路南新东一街15号,,,,,,沈阳新光房地产开发有限公司,筑景.新光小区,0,12,2008-08-31 00:00:00.0,,
,,2007-07-23 00:00:00.0,,铁西区北一西路27号,,,,,,辽宁建设实业集团亿瀛房地产开发有限责任公司,府兴雅园,0,5,2008-08-30 00:00:00.0,,
,,2007-07-23 16:11:26.0,,和平区长白1#地块,,,,,,沈阳万科永达房地产开发有限公司,万科城三期一区,0,9,2008-10-25 00:00:00.0,,
,,2007-07-23 13:44:47.0,,沈阳市东陵区下深沟266号,,,,,,沈阳博信房地产开发有限公司,双“E”港,0,16,2007-12-31 00:00:00.0,,
,,2007-07-24 10:50:04.0,,东陵区高坎镇,,,,,,沈阳奥林匹克置业投资有限公司,沈阳奥林匹克花园一期,0,,,,
,,2007-07-26 08:28:38.0,,皇姑区陵东街109号,,,,,,沈阳绿城房产开发有限公司,海德公园二期,0,14,2008-12-31 00:00:00.0,,
,,2007-07-26 15:47:12.0,,于洪区阳光路,,,,,,阳光一百置业（辽宁）有限公司,阳光100国际新城,0,4,2008-10-30 00:00:00.0,,
,,2007-07-30 13:06:39.0,,沈河区青年大街260号,,,,,,辽宁省民政厅,社会福利中心,0,1,,,
,,2007-07-30 10:06:18.0,,于洪区怒江北街,,,,,,沈阳银亿房地产开发有限公司,银亿.万万城,0,47,2008-07-31 00:00:00.0,,
,,2007-07-30 15:25:07.0,,铁西区北二中路10-1号,,,,,,辽宁尊荣汽车贸易有限公司,辽宁尊荣汽车贸易有限公司4S店,0,1,,,
,,2007-07-30 14:55:40.0,,铁西区兴工北街2号,,,,,,麦德龙物业管理（沈阳）有限公司,麦德龙沈阳铁西商场,0,1,,,
,,2007-07-30 13:54:02.0,,沈北新区道义经济开发区沈北路76号,,,,,,沈阳富嘉园置业有限公司,沈北中小科技产业园,0,42,,,
,,2007-06-21 09:47:27.0,,沈阳市东陵区前桑林子村,,,,,,辽宁香格蔚蓝房地产开发有限公司,香格蔚蓝(L区)听雨观澜,0,44,2008-12-31 00:00:00.0,,
,,2007-06-21 16:52:52.0,,铁西区重工北街23号,,,,,,沈阳市铁西区城建开发有限责任公司,重工新村四期,0,6,,,
,,2007-06-21 16:51:47.0,,铁西区重工北街23号,,,,,,沈阳市铁西区城建开发有限责任公司,重工新村（一期）,0,17,,,
,,2007-06-21 16:46:33.0,,铁西区重工北街23号,,,,,,沈阳市铁西区城建开发有限责任公司,重工新村（一期）续建,0,12,,,
,,2007-06-22 10:10:18.0,,东陵区南塔街,,,,,,沈阳凯维莱置业有限公司,住宅、商业（一期）,0,55,2009-10-20 00:00:00.0,,
,,2007-06-25 08:32:25.0,,沈阳市于洪区赤山路9-2号,,,,,,沈阳市军队离退休干部安置办公室,老干部健身服务活动站,0,1,,,
,,2007-06-25 15:44:27.0,,铁西区北三中路25号,,,,,,沈阳沈铁房地产开发集团有限责任公司,职工住宅,0,8,,,
,,2007-06-25 10:47:26.0,,沈阳市铁西区兴工北街64-4号,,,,,,沈阳溢利房地产开发有限公司,溢利家园,0,2,2008-08-01 00:00:00.0,,
,,2007-06-25 08:52:20.0,,沈阳沈北新区辉山农业高新区新阳路17号,,,,,,沈阳新新险峰机械电子有限公司,"办公楼,厂房",0,2,,,
,,2007-06-26 16:06:27.0,,铁西区建设东路11号,,,,,,辽宁云腾房屋开发有限公司,韵动领地,0,5,2008-08-31 00:00:00.0,,
,,2007-06-26 08:55:35.0,,于洪区沈新路18号,,,,,,沈阳盛泰房地产开发有限公司,居住小区四期（沈新园）,0,3,2008-01-01 00:00:00.0,,
,,2007-06-27 15:11:38.0,,沈北新区,,,,,,辽宁北方烟花经销有限公司,库房、办公用房,0,8,,,
,,2007-06-28 09:41:18.0,,沈阳市苏家屯区玫瑰街191号,,,,,,中国石化销售有限公司东北辽宁分公司,加油站,0,1,,,
,,2007-06-28 15:14:28.0,,沈阳市铁西区北二中路3号,,,,,,辽宁兴路安汽车销售服务有限公司,东风本田4S店,0,1,,,
,,2007-06-29 14:25:56.0,,沈北新区福州路北，金牛街东,,,,,,辽宁安华房地产开发有限公司,富华园一期,0,17,2007-10-15 00:00:00.0,,
,,2007-06-29 08:25:52.0,,沈北新区辉山经济技术开发区人和街96号,,,,,,沈阳北方装备制造有限公司,"办公楼,厂房1,厂房2,门卫",0,4,,,
,,2007-07-02 08:23:35.0,,铁西区北二中路13号,,,,,,沈阳盛诺汽车销售服务有限公司,汽车展示、销售、服务中心,0,1,,,
,,2007-07-09 15:18:00.0,,沈北新区道义镇道义四村101国道西,,,,,,沈阳广厦天颜房屋开发有限公司,宏颐泷园二期,0,11,2009-09-01 00:00:00.0,,
,,2007-07-09 14:19:41.0,,铁西区艳粉街24号,,,,,,沈阳金昊房地产开发有限公司 ,天缘雅苑,0,1,2008-03-31 00:00:00.0,,
,,2007-07-09 15:45:20.0,,铁西区建设东路30号,,,,,,辽宁宏伟金都房地产开发有限公司,宏伟茗都三期,0,2,2007-12-31 00:00:00.0,,
,,2007-07-09 16:04:18.0,,于洪区鸭绿江北街176号,,,,,,辽宁三丰建筑装饰工程有限公司,厂房、办公楼,0,5,,,
,,2007-07-09 14:09:43.0,,于洪区白沙街,,,,,,辽宁大成农牧实业有限公司,办公楼、宿舍食堂、预混车间原料成品厂房,0,9,,,
,,2007-07-10 09:26:08.0,,沈阳蒲河新城,,,,,,辽宁恒生房地产开发有限公司,水墨丹青,0,13,2009-10-01 00:00:00.0,,
,,2007-07-10 13:52:44.0,,于洪区大韩屯村,,,,,,沈阳富禹房屋开发有限公司,居住小区一期,0,48,2008-08-31 00:00:00.0,,
,,2007-07-10 10:43:18.0,,沈阳市沈河区南一经街113号,,,,,,沈阳市地方税务局,信息网络中心,0,1,,,
,,2007-07-10 14:09:29.0,,于洪区吉力湖街,,,,,,沈阳福兴房地产开发有限公司,瑞士风情小镇二期续建北区,0,12,2009-06-30 00:00:00.0,,
,,2007-07-11 08:41:26.0,,沈阳市于洪区白沙街28号,,,,,,辽宁大成房产有限公司,办公楼、宿舍食堂、预混车间原料成品厂房,0,9,,,
,,1990-01-01 00:00:00.0,,铁西区建设中路62号,,,,,,辽宁宏伟金都房地产开发有限公司,宏伟金都二期,,26,2007-12-31 00:00:00.0,25656666/25659999/25613333,
,,,,沈河区,,,,,,辽宁新润房地产开发有限公司,居住、商业,,,,,
,,,,于洪区,,,,,,恒大长基（沈阳）置业有限公司,住宅、公建（恒大绿洲五期一组团）,,,,,
,,,,和平区,,,,,,沈阳富临房地产开发有限公司,商业,,,,,
,,,,苏家屯区,,,,,,沈阳智富物流城开发有限公司,物流仓储（智富物流总部基地一期）,,,,,
,,,,铁西区,,,,,,沈阳德瑞房地产开发有限公司,鑫丰.御景庭,,,,,
,,,,沈阳经济技术开发区,,,,,,中南世纪城（沈阳）房地产开发有限公司,居住商业项目（沈阳中南世纪城项目）,,,,,
,,,,铁西区,,,,,,沈阳万科金域曦郡房地产开发有限公司,万科润园（二期）,,,,,
,,,,大东区,,,,,,沈阳恒睿置业有限公司,居住、商业（二期）,,,,,
,,,,沈河区,,,,,,沈阳佳和房地产开发有限公司,居住、商业（一期）,,,,,
,,,,和平区,,,,,,沈阳和泓嘉瑞房地产开发有限公司,居住、商业（CB2009-007地块）,,,,,
,,,,和平区,,,,,,辽宁高校后勤集团房地产开发有限公司,居住、商业（三期A）,,,,,
,,,,和平区,,,,,,沈阳城市公用集团房地产开发有限公司,南二马路北（和平区太原街金碧辉煌地块）商业项目,,,,,
,,,,皇姑区,,,,,,沈阳博隆房地产开发有限公司,居住、商业,,,,,
,,,,东陵区,,,,,,辽宁盛融万恒房地产开发有限公司,居住、商业,,,,,
,,,,于洪区,,,,,,辽宁长涛置业有限公司,居住、商业（文大苑一期）,,,,,
,,,,浑南区,,,,,,沈阳旭全置业有限公司,居住、商业（二期-1）,,,,,
,,,,沈北新区,,,,,,辽宁筑成地产发展有限公司,国奥新城一期,,,,,
,,,,浑南区,,,,,,沈阳穗港白云房地产投资开发有限公司,居住、商业（三期）,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳金地至胜房地产开发有限公司,居住、商业（一期）,,,,,
,,,,皇姑区,,,,,,沈阳万科紫台置地有限公司,居住、商业（5号地）,,,,,
,,,,沈北新区,,,,,,沈阳华强新城市发展有限公司,华强城二期（2.1期商业）,,,,,
,,2007-07-30 10:50:14.0,,沈阳市铁西区沈辽东路73-6号,,,,,,辽宁博润集团有限公司,博润文仕,0,4,2008-05-31 00:00:00.0,,
,,1990-01-01 00:00:00.0,,东陵区望花中街东侧,,,,,,沈阳东方宏利房地产有限公司,居住小区一期-1（部分用地）,,15,,,
,,2007-08-01 13:49:29.0,,经济技术开发区8号路3甲4号,,,,,,沈阳朝兴焊接设备有限公司,厂房,0,2,,,
,,2007-08-01 14:23:00.0,,于洪区吉力湖街,,,,,,沈阳宏发房屋开发有限公司,宏发.华城世界（F区）一期,0,25,2007-12-31 00:00:00.0,,
,,2007-08-02 09:38:59.0,,沈北新区虎石台经济开发区虎石台南大街40,,,,,,辽宁荣信房地产开发有限公司,虎石台财富广场A区B区,0,1,2008-05-31 00:00:00.0,,
,,2007-08-02 15:30:32.0,,东陵区东望北街117号,,,,,,沈阳中体房地产开发有限公司,沈阳中体奥林匹克花园.花园新城,0,17,2008-10-30 00:00:00.0,,
,,2007-08-02 08:02:16.0,,铁西区建设中路一号,,,,,,沈阳龙城置业发展有限公司,沈阳第一城,0,2,2008-11-30 00:00:00.0,,
,,2007-08-02 09:16:58.0,,铁西区建设东路57号,,,,,,沈阳千缘房地产投资集团有限公司,爱都国际B座,0,1,2007-12-31 00:00:00.0,,
,,2007-08-30 13:39:15.0,,铁西区北四中路,,,,,,辽宁力丰房屋开发有限公司,四季嘉园二期,0,23,2009-06-30 00:00:00.0,,
,,2007-08-15 15:27:47.0,,于洪区黄海路南侧,,,,,,沈阳民安房地产开发股份有限公司,住宅、公建三期,0,8,2008-01-01 00:00:00.0,,
,,2007-08-16 00:00:00.0,,沈北新区辉山经济开发区聚农路27号,,,,,,沈阳翰文房地产开发有限公司,亚瑟蓝湾车库,0,2,2007-10-31 00:00:00.0,,
,,2007-08-17 13:36:48.0,,于洪区太湖街东,,,,,,沈阳三达房产开发有限公司,漾日华庭,0,15,2008-10-08 00:00:00.0,,
,,2007-08-20 13:16:27.0,,苏家屯区玫瑰街197号,,,,,,沈阳市华谊电器厂,办公楼、厂房,0,2,,,
,,2007-08-20 14:21:44.0,,苏家屯区官明街11号,,,,,,沈阳泰豪电力有限公司,厂房、办公楼,0,3,,,
,,2007-08-20 09:57:50.0,,于洪区西江街东1号,,,,,,辽宁凯隆房地产开发有限公司,凯隆.幸福里,0,6,2007-12-31 00:00:00.0,,
,,2007-08-21 14:45:00.0,,沈北新区辉山经济开发区人和街170号,,,,,,沈阳天阔华城房地产开发有限公司,沈阳中体奥林匹克花园.花园一号（二期）,0,14,2008-10-31 00:00:00.0,,
,,2007-08-22 09:33:01.0,,于洪区洪湖北街58-16号,,,,,,沈阳电站泵制造厂有限公司,厂房、办公楼,0,2,,,
,,2007-08-22 16:35:45.0,,大东区东贸路20-2号,,,,,,沈阳储运集团公司,物流配送中心楼仓,0,1,,,
,,2007-08-23 13:13:12.0,,东陵区文化东路、天坛一街,,,,,,沈阳中润置业有限公司,住宅、楼网点,0,26,2009-11-30 00:00:00.0,,
,,2007-08-23 10:35:52.0,,和平区荣生街,,,,,,沈阳市第七人民医院,制剂楼、洗衣房,0,1,,,
,,2007-08-24 10:15:40.0,,和平区民主路,,,,,,沈阳云峰投资有限责任公司,居住、商业,0,2,2009-06-30 00:00:00.0,,
,,2007-08-24 00:00:00.0,,于洪区东平湖街,,,,,,辽宁世代龙城房地产开发有限公司,居住、商业,0,36,2008-07-30 00:00:00.0,,
,,2007-08-27 00:00:00.0,,东陵区桃仙镇班家寨村,,,,,,沈阳市绿色家园房地产开发有限公司,绿色家园三期,0,54,2008-06-30 00:00:00.0,,
,,2007-08-27 13:46:56.0,,沈河区北京街27号,,,,,,中国农业银行辽宁省分行,综合大厦,0,1,,,
